"model","nopar","nlogl","maxgrad"
"h1_0.11",1848,4200.45812394667,0.000469189284346086
"h1_1.11",1864,1319.55816350092,0.000235900767135178
"h2_0.11",1621,3893.00089423861,0.000290052927074522
"h2_1.11",1617,1241.78209268134,0.000155867785223821
