"year","length_cm","proportion","ridge_height"
1988,42,0.0001230062,0.000721683561815829
1988,43,8.191748e-05,0.000480613975079117
1988,44,9.145284e-05,0.000536558411766017
1988,45,0,0
1988,46,0,0
1988,47,0,0
1988,48,0,0
1988,49,0,0
1988,50,0,0
1990,10,0,0
1990,11,0,0
1990,12,0,0
1990,13,0,0
1990,14,0,0
1990,15,0,0
1990,16,0,0
1990,17,5.506722e-05,0.000176221081419082
1990,18,0.0004619959,0.00147843702858401
1990,19,0,0
1990,20,0,0
1990,21,0,0
1990,22,0,0
1990,23,0.0006747673,0.00215932860442626
1990,24,0.003050414,0.00976165591536865
1990,25,0.01301008,0.0416336682140258
1990,26,0.03254421,0.104145004598556
1990,27,0.1498883,0.479658830027515
1990,28,0.3124894,1
1990,29,0.2697314,0.863169758718216
1990,30,0.1253102,0.401006242131733
1990,31,0.05007756,0.160253627803055
1990,32,0.02316262,0.0741228982487086
1990,33,0.01085083,0.0347238338324436
1990,34,0.003164168,0.0101256810631017
1990,35,0.002283092,0.00730614222434425
1990,36,0.00152456,0.00487875748745397
1990,37,0.0006491727,0.00207742310619176
1990,38,0.0005550672,0.00177627529125788
1990,39,5.610134e-05,0.000179530377670411
1990,40,0.0004609617,0.001475127476324
1990,41,0,0
1990,42,0,0
1990,43,0,0
1990,44,0,0
1990,45,0,0
1990,46,0,0
1990,47,0,0
1990,48,0,0
1990,49,0,0
1990,50,0,0
1991,10,0,0
1991,11,0,0
1991,12,0,0
1991,13,0,0
1991,14,0,0
1991,15,0,0
1991,16,0,0
1991,17,0,0
1991,18,0,0
1991,19,0.000430597,0.00165514221983563
1991,20,0.003327612,0.012790779110007
1991,21,0.0114291,0.0439315321396187
1991,22,0.0229403,0.0881786428277376
1991,23,0.08124552,0.312294071543694
1991,24,0.2065728,0.794030991274119
1991,25,0.2601571,1
1991,26,0.2050869,0.788319442367708
1991,27,0.08442948,0.324532676601946
1991,28,0.01732649,0.0666001043215811
1991,29,0.02864552,0.110108545951658
1991,30,0.03663806,0.140830521250429
1991,31,0.02755149,0.105903279210908
1991,32,0.008825,0.0339218110902989
1991,33,0.003575,0.0137416968439454
1991,34,0.0008141791,0.00312956709618919
1991,35,0.0002585821,0.000993945965726094
1991,36,0.0006235075,0.00239665763494442
1991,37,0.0001227612,0.000471873341146561
1991,38,0,0
1991,39,0,0
1991,40,0,0
1991,41,0,0
1991,42,0,0
1991,43,0,0
1991,44,0,0
1991,45,0,0
1991,46,0,0
1991,47,0,0
1991,48,0,0
1991,49,0,0
1991,50,0,0
1992,10,0,0
1992,11,0,0
1992,12,0,0
1992,13,0,0
1992,14,0,0
1992,15,0.001099287,0.00572394760753031
1992,16,0.002615339,0.0136179754804075
1992,17,0.01987574,0.10349225854658
1992,18,0.1259905,0.656027971809498
1992,19,0.1920505,1
1992,20,0.1353662,0.704846902247065
1992,21,0.1016486,0.529280579847488
1992,22,0.06169798,0.321259147984514
1992,23,0.02574078,0.13403130947329
1992,24,0.01073365,0.0558897269207839
1992,25,0.01304994,0.0679505650857457
1992,26,0.0285761,0.148794718055928
1992,27,0.08663555,0.451108172069326
1992,28,0.08329964,0.43373820948136
1992,29,0.06497503,0.338322628683601
1992,30,0.02189417,0.114002150476047
1992,31,0.01246017,0.0648796540493256
1992,32,0.006277646,0.0326874754296396
1992,33,0.003263377,0.0169922858831401
1992,34,0.002337693,0.0121722828110315
1992,35,0.0004120095,0.00214531854902747
1992,36,0,0
1992,37,0,0
1992,38,0,0
1992,39,0,0
1992,40,0,0
1992,41,0,0
1992,42,0,0
1992,43,0,0
1992,44,0,0
1992,45,0,0
1992,46,0,0
1992,47,0,0
1992,48,0,0
1992,49,0,0
1992,50,0,0
1993,10,0,0
1993,11,0,0
1993,12,0,0
1993,13,0,0
1993,14,0,0
1993,15,0.0002847244,0.00123353702785077
1993,16,0.0003598706,0.00155909964279448
1993,17,0.003,0.0129971687834
1993,18,0.02012504,0.0871895138842256
1993,19,0.1005186,0.435485736690358
1993,20,0.2308195,1
1993,21,0.1816694,0.787062618193004
1993,22,0.06837881,0.296243644926014
1993,23,0.03784293,0.163950316156131
1993,24,0.0332045,0.143854830289469
1993,25,0.0188129,0.081504812201742
1993,26,0.01934463,0.0838084737208078
1993,27,0.02575962,0.111600709645416
1993,28,0.02451832,0.106222914441804
1993,29,0.03302156,0.143062262937057
1993,30,0.04740437,0.205374199320248
1993,31,0.05502664,0.238396842554464
1993,32,0.04390299,0.190204857041974
1993,33,0.02563135,0.111044994032133
1993,34,0.0129113,0.0559367817710375
1993,35,0.00596874,0.025858907068077
1993,36,0.004368032,0.0189240163850974
1993,37,0.001514629,0.00656196291907746
