"year","length_cm","proportion","ridge_height"
1983,10,0,0
1983,11,0,0
1983,12,0,0
1983,13,0,0
1983,14,0,0
1983,15,0,0
1983,16,0,0
1983,17,0,0
1983,18,0.0005220264,0.00402338687301538
1983,19,0.01254273,0.0966699294016093
1983,20,0.04743524,0.365595153682523
1983,21,0.08610881,0.663661944692789
1983,22,0.1207335,0.930523013842217
1983,23,0.129748,1
1983,24,0.1002031,0.772290131639794
1983,25,0.07355991,0.566944461571662
1983,26,0.0375533,0.289432592409902
1983,27,0.008638767,0.0665811187841046
1983,28,0.02548987,0.196456746924808
1983,29,0.08188502,0.631108148102476
1983,30,0.1101286,0.848788420630761
1983,31,0.07761674,0.598211456053273
1983,32,0.04510529,0.347637651447421
1983,33,0.02224449,0.171443798748343
1983,34,0.009231718,0.071151139131239
1983,35,0.005066079,0.0390455267133212
1983,36,0.001636564,0.0126134044455406
1983,37,0.002593833,0.0199913139316213
1983,38,0.0002096916,0.00161614514289238
1983,39,0.0009612335,0.00740846487036409
1983,40,0.0007854626,0.00605375497117489
1983,41,0,0
1983,42,0,0
1983,43,0,0
1983,44,0,0
1983,45,0,0
1983,46,0,0
1983,47,0,0
1983,48,0,0
1983,49,0,0
1983,50,0,0
1986,10,0.00667759,0.0322635024138717
1986,11,0.01100824,0.0531875089384762
1986,12,0.006884507,0.0332632444059634
1986,13,0.01158738,0.0559856868421765
1986,14,0.00909875,0.0439616003061307
1986,15,0.01359921,0.0657060623161573
1986,16,0.03963708,0.191510863389161
1986,17,0.02747056,0.132726998643284
1986,18,0.04744597,0.229240364805789
1986,19,0.1411403,0.681934711436998
1986,20,0.2069704,1
1986,21,0.1810574,0.874798521914245
1986,22,0.09930919,0.47982315345576
1986,23,0.04763152,0.230136869813268
1986,24,0.04338634,0.20962582089033
1986,25,0.01413787,0.068308656696803
1986,26,0.01115218,0.0538829707049897
1986,27,0.005373109,0.0259607605725263
1986,28,0.002211994,0.0106874896120411
1986,29,0.0004464471,0.00215705772419631
1986,30,0.005709351,0.0275853503689416
1986,31,0.01301107,0.0628643999335171
1986,32,0.01511735,0.0730411208559292
1986,33,0.02081883,0.100588441632233
1986,34,0.01081144,0.0522366483323219
1986,35,0.006582003,0.0318016634262677
1986,36,0.001723938,0.00832939396164862
1986,37,0,0
1986,38,0,0
1986,39,0,0
1986,40,0,0
1986,41,0,0
1986,42,0,0
1986,43,0,0
1986,44,0,0
1986,45,0,0
1986,46,0,0
1986,47,0,0
1986,48,0,0
1986,49,0,0
1986,50,0,0
1987,10,0,0
1987,11,0,0
1987,12,0.0001585544,0.000883022163213387
1987,13,0.0006269165,0.00349142732074396
1987,14,0.001354375,0.00754279378120148
1987,15,0.002539182,0.014141228388695
1987,16,0.00317194,0.0176651882280345
1987,17,0.004564006,0.0254178909638514
1987,18,0.006267036,0.034902416367229
1987,19,0.01427199,0.079483656607195
