year,fleet,0,1,2,3,4,5,6,7,8,9,10,11,12
1981,CS_Chile_ps,0.10472295172551865,0.16385689847330462,0.18748183046526956,0.23842025781823167,0.268181765763042,0.3078269086105494,0.36779666593883353,0.4635753208322734,0.7955722335048273,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1982,CS_Chile_ps,0.07034403509222203,0.18256280066160743,0.2011660528480985,0.23258519004260197,0.26062428764187395,0.2953160536242957,0.34378940985450257,0.4021002588945399,0.4467672995270989,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1982,N_Chile,0.057162211384951825,0.16365025097446867,0.19233380570624586,0.23620490576707365,0.3014683628669579,0.35444998797249777,0.4224570732366888,0.4597355955249435,0.4895079956307166,0.7386843989381432,1.1443851184330425,1.3500049181111655,1.5505821940632372
1983,CS_Chile_ps,0.07083571338927583,0.12006383606927423,0.16642546820844722,0.24941769831742908,0.2838451800297095,0.32963700779965294,0.41762324007065305,0.4970389935110478,0.6055890567655193,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1984,CS_Chile_ps,0.10601632176601211,0.15053477452175926,0.14796635987928916,0.24255805500844754,0.289008513852387,0.3415929465335854,0.42052325769026905,0.49866463582292003,0.5667257676789247,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1986,CS_Chile_ps,0.07524770321667634,0.13614328613608045,0.21211459716751363,0.27268733981879617,0.31319728875292074,0.40786752156848677,0.4747012768267687,0.5504372395080647,0.687402385557734,0.9996095631952184,1.1443851184330425,1.3500049181111655,1.5505821940632372
1986,N_Chile,0.09238486826781235,0.0832801998317249,0.16601056047324927,0.27917059139451644,0.3583184664494091,0.43220581795051205,0.5234327379663462,0.5587558145258067,0.7161178962851698,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1987,CS_Chile_ps,0.11096333797204824,0.12594137865143373,0.13686576904366393,0.21805617135521832,0.33481575228399824,0.4070682322585989,0.4551333342905085,0.4922724180511647,0.5638980224769575,0.8239993960149299,1.1443851184330425,1.3500049181111655,1.5505821940632372
1987,N_Chile,0.07928752591030658,0.15901266518733773,0.1630467495855561,0.23705814030769873,0.33472424101200027,0.4322562885265482,0.4910377770041592,0.5420360760711324,0.5448676835519188,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1988,CS_Chile_ps,0.11178015649472021,0.18229064487688684,0.1973105047781949,0.22068873807070868,0.33975976062435714,0.44408997198088207,0.49015715468121906,0.53876035241498,0.801143003029748,1.1079817304333075,1.1443851184330425,1.3500049181111655,1.5505821940632372
1990,N_Chile,0.10179779795017838,0.11620215211814804,0.23773956455897818,0.2926633286399367,0.3378780208794522,0.3861124685412695,0.49012731682195376,0.6877694106660354,0.6766677178070988,0.9504297998563562,1.1443851184330425,1.3500049181111655,1.5505821940632372
1992,N_Chile,0.07904493446970985,0.11609191867864334,0.15906570984003823,0.25934873166994815,0.28510705210964205,0.34157400039592933,0.3942182144007593,0.4711395586777404,0.6731198803288015,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1993,N_Chile,0.012376751287706697,0.13323156865712102,0.13022891844720372,0.25840948590277346,0.33410626617937833,0.3789038408493319,0.4320609474601083,0.5200201851988911,0.6377385599254108,0.8145087797570739,0.9349996662775584,0.9599597990685295,1.5505821940632372
1994,N_Chile,0.04267728488932583,0.10533571571338701,0.13240502736151824,0.28167990494007816,0.3215695170943726,0.37879155894603955,0.43607453953256525,0.5084510891629064,0.5835099809215168,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1996,CS_Chile_ps,0.07062187865852095,0.1893029254258653,0.19256448968686013,0.28075112828839033,0.3617778022449783,0.512154451858448,0.7041861400716449,0.9541339187845811,1.1824281703445403,1.3559039569443312,1.4453083606785175,2.0084672144371027,1.5505821940632372
1996,N_Chile,0.0674582221533369,0.11712985441870259,0.1514152232680632,0.2027181580848719,0.229674686410015,0.28367209593443027,0.38814149745743454,1.3196533491410665,0.8522619341745649,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1997,CS_Chile_ps,0.07986482519504848,0.17424842913978178,0.19573665973254603,0.26571025512093666,0.3599497871174072,0.5178513064645273,0.6991787464143637,0.8871799750682853,1.0835490539837351,1.28671210919718,1.5288230121271924,1.786437997812838,1.7786634435496043
1998,CS_Chile_ps,0.08640486175285607,0.15091094342826306,0.16506451391651425,0.25073046499434487,0.34261459882586437,0.5389494515864636,0.793806853881339,1.0247650737566443,1.2182845891853478,1.4037221478736497,1.5835153817172813,1.933449225405513,2.5262168822686806
1998,N_Chile,0.0609158561256128,0.18287405092746306,0.12446598657868548,0.24599419440203907,0.2854506333913395,0.33944652168093503,0.41120252409589,0.7035317664121399,0.8522619341745649,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
1999,CS_Chile_ps,0.08017592463718948,0.16077826676248513,0.16670835441764897,0.2590835246071167,0.3377260911600436,0.494226840163065,0.7894252132714444,1.038840273647862,1.23488529792462,1.3965145387679212,1.6537170531560188,1.8407679136249948,1.9519597390661234
1999,N_Chile,0.070774620042638,0.11114294930533516,0.09493376919786445,0.2656742920680355,0.3063742395465144,0.36973394830243145,0.6119308999816143,0.7035317664121399,0.8522619341745649,0.9840867330407711,1.1443851184330425,1.3500049181111655,1.5505821940632372
