0,1,2,3,4,5,6,7,8,9,10,11,12,fleet,year
0,85455009.101,502284996.75000006,480849821.79999995,423719245.96000004,566771683.36,1590076830.86,1641600660.37,1209429274.05,690732462.202,273955424.7704,11839429.616,0,CS_Chile_ps,1992
0,79551615.183,1052755001.7400001,1149957257.6200001,922630839.1,781105649.0600001,663824063.9,904624020.5400001,805638086.3790001,281009523.32,44757966.011,1729932.2,0,CS_Chile_ps,1993
0,3514929.8231,425678080.35760003,1184391534.667,1248724518.997,921451118.2499999,801964324.3000001,1164969522.6499999,892510863.4449999,293358769.8089,43261526.139,913277.5143,0,CS_Chile_ps,1994
0,92325879.12,3220095544.3,2825468316,3749690732,3430555112.6,1279398423.6,1222248979.7,692248027.1,236968681.9,66622822.05,1186530,0,CS_Chile_ps,1995
2327061.7333,461334081.65,2318778622.2999997,2052827373.21,1858485155.44,1627330842.6699998,1109296057.8300002,661635375.18,339094131.757,149509992.243,38888491.612,7245863.85,0,CS_Chile_ps,1996
2312057.7249,928048023.04,5091447765.9,2511562863,1254638984,730631352.1599998,616332544.36,551196325.72,293967046.65,164897778.55,65852643.354,17959301.808,4657012.6089,CS_Chile_ps,1997
6978050.305,952793917.8999999,6065156366.9,1447161151.7100003,672670300.01,296999474.15999997,339234339.34000003,386606054.32,196674367.958,84020248.41999999,23672864.176000003,5914996.200999999,253416,CS_Chile_ps,1998
10196155.727,1818408804.4580002,4825545520.2,1426629603.1,596887291.94,164878524.22,75889109.861,120483085.223,99472913.042,46103059.911,28672725.710669998,11617943.203,4552738.706,CS_Chile_ps,1999
124854.7051,764412324.1190001,3757670209,1835940424.8999999,749872817.7,200797068.58999997,82593938.058,75037523.904,85049006.64800002,45324474.6043,24109940.3659,14151290.5167,7590955.546,CS_Chile_ps,2000
0,440943710.195,2995981474.1000004,2086685273.8999999,866560701.7,286439082.66999996,156336389.32,140393397.86,122713050.801,104292086.25,64175119.5834,45817154.2382,15948979.425,CS_Chile_ps,2001
3529375,424301825.5533,2120589981.3999999,1434416248.6,987510883.8,390111162.89,230906461.92,188040360.10999998,153780401.7,113002337.02,107062121.50199999,47786945.315,26702805.385,CS_Chile_ps,2002
522509.3786,151780107.055,1130439236.56,1032699857.8000001,749875782.63,288275150.65,99477555.971,70982266.93499999,57929980.948,34709742.05199999,23151791.892,11847543.483,3026514.648,CS_Chile_ps,2003
0,50346039.5448,701074353.27,925420065.05,824082680.58,347630984.76,160266074.216,101233396.947,57882670.915,23819031.191199996,11317614.6126,10599803.635,8918836.2463,CS_Chile_ps,2004
0,41589632.192,211562625.66700003,534308945.7,893648809.58,525225559.04,229912728.66000003,138011366.85999998,61909939.333000004,27315977.52,14175938.988000002,8940872.717999998,7512937.6967,CS_Chile_ps,2005
170282.6571,26284276.762000002,113886454.44999999,172645567.75,378423488.32,474664061.81,268202440.07999998,199794207.6356,125239450.70779999,61540673.153000005,33963506.4331,12946729.3533,13485958.8867,CS_Chile_ps,2006
0,1051979.25793,258182135.2512,328213038.109,213879380.5119,297868220.13509995,291706731.1324,246337891.0133,172456232.9838,88240500.00500001,40942258.621,24382793.363,14822832.704,CS_Chile_ps,2007
1283567.75,30202198.75,8641807.2747,73015905.516,244326292.63700002,230874122.36999997,178697736.0127,121964607.09948,101529390.54033299,58127694.408999994,37824627.349999994,21412649.178,22589072.0897,CS_Chile_ps,2008
0,28515847.07,171585285.93009,26628639.4037,224618067.45,242881331.30400002,181944530.81399998,114559147.12799999,80079237.6328,46180846.536299996,19241140.5621,13213454.1294,10440016.04,CS_Chile_ps,2009
0,3563780.9659,198560862.19,124113386.3478,62280901.02340001,66534274.918900006,39255315.97449999,58242989.84197,39590158.32,12349295.65,4251020.481,4159758.6569999997,1449629.667,CS_Chile_ps,2010
0,8458554.273,36974470.451000005,49024903.62,123861544.917,36986429.938,28520117.639,46260683.415,6577472.045,4572279.2051,1071233.5,731933,152225,CS_Chile_ps,2011
0,265360.81629,42571977.2846,132937498.871,144299506.398,152898104.709,36869467.511800006,16117173.113,2964091.96986,168420.2857,110711,170066,36226,CS_Chile_ps,2012
0,9003651.23852,108359359.7729,185302723.6213,196124904.22140002,83058887.035,12144830.406,2587486.6197,572479.87523,228088.2,14638,93772,113918,CS_Chile_ps,2013
233,3392947.3933,57383285.308000006,106703183.41500002,115046216.38700001,96152699.86,52112995.074,13241061.902500002,4156443.3557200003,1837075.6265999998,323514.6818,114428,127621,CS_Chile_ps,2014
551640.5,69248465.207,321583657.527,101203241.185,72593037.79699999,72623520.19999999,46853462.3616,18464350.107,7830917.5309999995,2117571.6964,2365064.129,738791.3,235164.5,CS_Chile_ps,2015
0,2996652.0083999997,153031159.22,169320805.338,144311479.29999998,92546385.16,52765809.54099999,24442099.854999997,14830694.8107,4732068.5078,1753710.3734,2134211.6425,711046.25,CS_Chile_ps,2016
0,19146167.61,135388786.689,101925326.448,105378801.36099999,104711165.752,71239886.25500001,44308591.646,28288650.772,19587720.68,8719273.103699999,3238635.833,6689725.833,CS_Chile_ps,2017
0,14024347.037,155732386.4283,211022226.9597,175696553.79299998,152209234.389,78504253.764,45770590.565,25791680.3643,13163525.592,5905052.516,5133072.797,1774449.8,CS_Chile_ps,2018
46161,753500,84726863.50170001,162289668.636,203186399.81,222710955.18400002,132286644.195,79024090.929,40855879.941,10835194.12,1661558.1786,449645.5,241423,CS_Chile_ps,2019
0,0,57263845.48672,61228546.054900005,96093020.04299998,138402278.299,125722488.592,86133917,48916800.0531,16154700.3938,2394167.473,5142333.466999999,315933.14286,CS_Chile_ps,2020
0,2538300.655,28654556.016499996,83310792.69000001,149638433.62500003,188439075.1679,136286246.8799,23011544.96,11797,0,0,0,0,N_Chile,1980
0,5380761.115999999,72557379.57,137185821.35,217546255.305,338598361.164,195433672.038,47397462.565,9385382.896,0,0,0,0,N_Chile,1981
38960.2,9500064.597900001,340940894.51,344322032.55,503783587.59000003,611525887.2199999,368232687.04,139096457.169,27461373.6717,339364.381,0,0,0,N_Chile,1982
0,7963170.545,66001057.95900001,129196475.43540001,210347485.363,213377719.42400002,118347383.17400001,24294372.9434,1341633.8999,35474.23077,0,0,0,N_Chile,1983
0,46510040.591110006,730444088.7,265639222.90299997,306244800.67700005,390558018.02,340001865.17,95046746.05,4071702.7757,0,0,0,0,N_Chile,1984
0,18124742.9957,269116886.424,374164291.786,430472338.019,268939345.307,77695669.9886,15048122.435,1610281.925,0,0,0,0,N_Chile,1985
847986.7791,7601650.643,10811910.8022,8736295.2447,18238151.3537,31590083.8067,17618612.033,4498170.0993,205988.2308,0,0,0,0,N_Chile,1986
2066027.23256,224069974.2,1049118145.04,174612285.34600002,41440878.655999996,28034193.8173,13179336.212100001,1440478.2275,734401.20453,0,0,0,0,N_Chile,1987
0,1456214.0363,44307493.316,143477627.002,70089976.995,4703640.1686,591438.7333,30458.8,0,0,0,0,0,N_Chile,1988
0,2707610.266,74623316.17,354908018.9,323619205.75,65143584.074,11407156.034,3330224.423,924125.9286,139929.5,0,0,0,N_Chile,1989
3194546.25,76935109.325,29681822.273000002,236153580.67299998,414904906.78,86422385.74700001,9207360.363,1033855.6667,386374,4177,0,0,0,N_Chile,1990
0,113339885.654,326094615.9,78617248.062,175835276.649,235182209.16,58682668.095,9528402.381000001,2733131.0417,617095,0,0,0,N_Chile,1991
2105826.476,131517242.17999999,353473180.98,245363788.82,243488546.626,145008635.214,53762397.8829,8670507.858,1019460,0,0,0,0,N_Chile,1992
4788982.7185,349180223.655,1618926373.68,173384674.088,81645143.589,28022869.527000003,7502074.987,2284830.3972,485971.3332,117998.63439,78471.94771,751.5,0,N_Chile,1993
700298.0667,262177080.31,314304561.921,250849881.006,130679459.51999998,22047678.083,5303818.61,2241529.4360100003,267841,0,0,0,0,N_Chile,1994
0,48111475.894999996,718657325.1,193019952.62,65840974.99,18891400.909,613147.1278,146169.33333,0,0,0,0,0,N_Chile,1995
146304131.991,437799912.941,861323269.9800001,162996006.18,46907180.732,6833232.8131,174583.4706,71484,0,0,0,0,0,N_Chile,1996
0,197052959.21199998,330889142.05,18912073.565300003,1375550.1294,54368,0,0,0,0,0,0,0,N_Chile,1997
59884.66667,13674787.748,142405468.13,19129900.959,4872016.6075,455710.99917,5752.888889,0,0,0,0,0,0,N_Chile,1998
295269.6308,37006046.1392,339375958.9229999,21190855.770600002,7326410.465,751573.0921,32634,0,0,0,0,0,0,N_Chile,1999
22311620.306,271856102.85,347202077.533,118010406.537,8671787.6927,107366,0,0,0,0,0,0,0,N_Chile,2000
4982536.341399999,1047374686.1110001,1005002154.6899999,18475396.655,1149843.0833,249215,0,0,0,0,0,0,0,N_Chile,2001
0,146061082.39999998,406111138.47,116272737.03,24130058.1124,4485894.441,434231.5517,0,0,0,0,0,0,N_Chile,2002
580700.2041,226895844.76000002,786556488.051,49016606.348000005,21173879.040099997,8802890.83788,1935512.54,109004.2667,0,0,0,0,0,N_Chile,2003
102781,107214985.4,507798053.45000005,186788856.21,8604678.749000002,326822.2558,0,0,0,0,0,0,0,N_Chile,2004
3459608.232,505104791.56999993,549262498.47,137343880.355,49655439.065000005,6591715.3440000005,133155,38372,0,0,0,0,0,N_Chile,2005
1386044.3036,91033261.57699999,940062851.957,72678535.212,25556569.4389,8548579.064,1213231.767,50089.66667,0,0,0,0,0,N_Chile,2006
3609306.666,131885762.463,741671011.47,137495033.64000002,33937469.909,19427688.25,5338774.943,1461169.6667,0,0,0,0,0,N_Chile,2007
98716871.149,852504948.0999999,417423657.92999995,129230668.37099999,106435823.44,13018434.9667,759553,190481,41055,0,0,0,0,N_Chile,2008
1085223.143,175865173.23,598742027.6,32514898.095,72098941.73,3266035.166,86959,0,0,0,0,0,0,N_Chile,2009
0,105652101.224,838994666.0699999,144780978.966,37124893.8207,9102471.917,292147,484632,0,0,0,0,0,N_Chile,2010
1459845,278416818.07,73134319.93,5743293,2184150,344192,0,0,0,0,0,0,0,N_Chile,2011
71289,26803495,45199510.03,5747486.217,78110.9386,6122.8125,0,0,0,0,0,0,0,N_Chile,2012
461,61565949.2,130211516.2,2088783.819,2195280.925,2257561.1061,34647,31958.75,0,0,0,0,0,N_Chile,2013
0,131852029.465,89013124.36829999,3436476.8503,933067.3106300001,33230,5621,0,0,0,0,0,0,N_Chile,2014
223093,23013058,101230895,25848118.5,10685546.83,7243882,1183721.6667,209486,0,0,0,0,0,N_Chile,2015
0,5129676.247,10058968.852,6761736.0229,9603337.1516,9636797.987,3462834.7909,5112154.95,720470,193462,0,0,0,N_Chile,2016
0,68822217.596,135280075.0459,13664521.238,2947546.42613,1377687.6952,115606,138022,69011,0,0,0,0,N_Chile,2017
0,150237472.95999998,517210.4278,85268.62986,47137.98841,11815.99238,0,0,0,0,0,0,0,N_Chile,2018
425610,6130257,5887972,2768111.4286,4318441.957,3930982.436,1991608.329,2063905.017,1247142,843048.25,799948.25,191891.6667,515047.6667,N_Chile,2019
0,0,32641025.22,30675530.02,28864180.01,18479407.5,9542557.25,1967913,569614,216911,7785,0,11678,N_Chile,2020
