Year,Fleet,type,Label,1,2,3,4,5,6,7,8,9,10,11,12
1989,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1990,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1991,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1992,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1993,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1994,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1995,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1996,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1997,3,wtage,S_Chile,0.06373516,0.1393542,0.1602297,0.1971961,0.2505387,0.3109208,0.3962574,0.5357578,0.7114013,0.8948108,1.065714,1.240817
1998,3,wtage,S_Chile,0.06373516,0.044715,0.1505114,0.1682537,0.2116046,0.2867436,0.3787575,0.5679024,0.814066,1.046348,1.238684,1.423868
1999,3,wtage,S_Chile,0.06373516,0.09653512,0.1213249,0.1510586,0.184777,0.2638195,0.350458,0.4886094,0.7717044,1.069072,1.308249,1.429448
2000,3,wtage,S_Chile,0.06373516,0.1098965,0.1266517,0.1708072,0.1978569,0.2605957,0.3510855,0.4698604,0.7692644,1.019593,1.162002,1.254238
2001,3,wtage,S_Chile,0.06373516,0.1272609,0.1403057,0.158582,0.2001092,0.2566394,0.3232698,0.4607683,0.6142302,0.8311866,1.081054,1.371292
2002,3,wtage,S_Chile,0.0654512,0.1287856,0.1737758,0.2250137,0.2842727,0.4436638,0.5252568,0.6198591,0.6818728,0.8996263,0.8057514,1.016774
2003,3,wtage,S_Chile,0.06201912,0.1431008,0.1778665,0.2338555,0.2888982,0.3635296,0.4654436,0.5454091,0.6273864,0.7110531,0.9768935,0.9500921
2004,3,wtage,S_Chile,0.06373516,0.1272609,0.2027646,0.2456966,0.2855099,0.3647364,0.4644868,0.5918847,0.672536,0.8084562,1.039274,1.118678
2005,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2027646,0.2456538,0.2841811,0.3633263,0.4660426,0.5918847,0.672536,0.8084562
2006,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2610985,0.3659534,0.4138033,0.499511,0.5886949,0.7375839,0.8718906,0.9055774,1.091268
2007,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.3967766,0.4285455,0.5070949,0.5990621,0.6708639,0.8888337,1.023999,1.147336
2008,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.445845,0.5234135,0.590105,0.6782426,0.7831646,0.8679215,0.9741431
2009,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.445845,0.5234135,0.590105,0.6782426,0.7831646
2010,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.1519594,0.1702484,0.3581125,0.3559393,0.4774617,0.5728278,0.6473346,0.7597587,0.8613473
2011,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5867532,0.6118474,0.7063496,0.7791359,0.881278
2012,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2013,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2014,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2015,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2016,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2017,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2018,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2019,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
2020,3,wtage,S_Chile,0.06373516,0.1272609,0.1642728,0.2067161,0.2658211,0.3581125,0.4299682,0.5282525,0.6355093,0.7791232,0.8960122,1.021506
1970,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1971,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1972,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1973,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1974,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1975,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1976,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1977,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1978,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1979,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1980,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1981,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1982,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1983,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1984,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1985,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1986,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1987,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1988,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1989,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1990,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1991,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1992,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1993,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1994,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1995,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1996,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1997,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1998,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
1999,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2000,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2001,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2002,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2003,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2004,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2005,4,wtage,N_Chile,0.0381,0.0809,0.1227,0.1822,0.2487,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2006,4,wtage,N_Chile,0.0386,0.0923,0.1398,0.1824,0.2357,0.3069,0.4071,0.4879,0.6355,0.7791,0.896,1.0215
2007,4,wtage,N_Chile,0.0572,0.1054,0.1518,0.206,0.2255,0.3094,0.3617,0.4879,0.6355,0.7791,0.896,1.0215
2008,4,wtage,N_Chile,0.0506,0.0699,0.0752,0.099,0.2399,0.2795,0.4075,0.4879,0.6355,0.7791,0.896,1.0215
2009,4,wtage,N_Chile,0.0381,0.1057,0.1446,0.2026,0.2813,0.3201,0.453,0.4879,0.6355,0.7791,0.896,1.0215
2010,4,wtage,N_Chile,0.0381,0.048,0.1426,0.173,0.2356,0.2854,0.3954,0.4879,0.6355,0.7791,0.896,1.0215
2011,4,wtage,N_Chile,0.0381,0.0747,0.1101,0.1796,0.224,0.301,0.3378,0.4879,0.6355,0.7791,0.896,1.0215
2012,4,wtage,N_Chile,0.006,0.07,0.095,0.233,0.299,0.346,0.487,0.4879,0.6355,0.7791,0.896,1.0215
2013,4,wtage,N_Chile,0.02119,0.02813,0.1337,0.20195,0.30217,0.42805,0.51715,0.56597,0.63551,0.77912,0.89601,1.02151
2014,4,wtage,N_Chile,0.03194857,0.04462345,0.103794,0.1669846,0.3318617,0.6301588,0.6323012,0.4878764,0.6355093,0.7791232,0.8960122,1.021506
2015,4,wtage,N_Chile,0.0198691,0.03994204,0.1365688,0.175909,0.3309102,0.4546553,0.5803244,0.4878764,0.6355093,0.7791232,0.8960122,1.021506
2016,4,wtage,N_Chile,0.039,0.066,0.153,0.206,0.283,0.313,0.62,0.65,0.776,0.7791232,0.742,1.021506
2017,4,wtage,N_Chile,0.025052871,0.034207299,0.134343217,0.18242541,0.28376796,0.290362412,0.606105573,0.65,0.905057375,0.7791,0.896,1.0215
2018,4,wtage,N_Chile,0.026,0.038,0.137,0.15,0.202,0.304,0.386,0.44,0.836,1.1,0.896,1.0215
2019,4,wtage,N_Chile,0.019510244,0.036189418,0.148307961,0.184645141,0.249440767,0.278368345,0.441776535,0.613155507,0.727933468,1.1,0.896,1.0215
2020,4,wtage,N_Chile,0.031759208,0.047585697,0.0722473,0.204613223,0.233140125,0.242391458,0.262047592,0.375803092,0.727933468,1.1,0.896,1.0215
