row_id	cm	value	cum_value	total	cum_prop
Row 01	5	0	0	44318.658848269	0
Row 01	6	0	0	44318.658848269	0
Row 01	7	0	0	44318.658848269	0
Row 01	8	0	0	44318.658848269	0
Row 01	9	0	0	44318.658848269	0
Row 01	10	0	0	44318.658848269	0
Row 01	11	0	0	44318.658848269	0
Row 01	12	0	0	44318.658848269	0
Row 01	13	0	0	44318.658848269	0
Row 01	14	0	0	44318.658848269	0
Row 01	15	0	0	44318.658848269	0
Row 01	16	24.08707177	24.08707177	44318.658848269	0.000543497307814873
Row 01	17	133.8821589	157.96923067	44318.658848269	0.00356439555652686
Row 01	18	353.5242392	511.49346987	44318.658848269	0.0115412668876368
Row 01	19	1070.238025	1581.73149487	44318.658848269	0.0356899675210226
Row 01	20	1764.65683	3346.38832487	44318.658848269	0.075507436638072
Row 01	21	1924.037411	5270.42573587	44318.658848269	0.118921146822471
Row 01	22	2150.489873	7420.91560887	44318.658848269	0.167444498586397
Row 01	23	3697.327242	11118.24285087	44318.658848269	0.250870471711133
Row 01	24	4761.301372	15879.54422287	44318.658848269	0.358303807821347
Row 01	25	4287.612958	20167.15718087	44318.658848269	0.455048905020231
Row 01	26	2516.81013	22683.96731087	44318.658848269	0.511837855665526
Row 01	27	695.3199549	23379.28726577	44318.658848269	0.527526957569095
Row 01	28	530.4541868	23909.74145257	44318.658848269	0.539496051413205
Row 01	29	742.1355734	24651.87702597	44318.658848269	0.556241494364012
Row 01	30	799.987067	25451.86409297	44318.658848269	0.574292290299396
Row 01	31	838.3203983	26290.18449127	44318.658848269	0.593208034143769
Row 01	32	1036.766108	27326.95059927	44318.658848269	0.616601479138337
Row 01	33	1149.204224	28476.15482327	44318.658848269	0.642531962006387
Row 01	34	1232.246128	29708.40095127	44318.658848269	0.670336190744868
Row 01	35	1444.093539	31152.49449027	44318.658848269	0.702920514741316
Row 01	36	1400.231951	32552.72644127	44318.658848269	0.734515152020252
Row 01	37	1201.047903	33753.77434427	44318.658848269	0.761615428387187
Row 01	38	928.6985129	34682.47285717	44318.658848269	0.782570451328643
Row 01	39	1017.904433	35700.37729017	44318.658848269	0.80553830413495
Row 01	40	1070.377421	36770.75471117	44318.658848269	0.829690150080121
Row 01	41	1036.752558	37807.50726917	44318.658848269	0.853083289334391
Row 01	42	840.3502277	38647.85749687	44318.658848269	0.872044833964544
Row 01	43	759.3711923	39407.22868917	44318.658848269	0.88917917900192
Row 01	44	639.08426	40046.31294917	44318.658848269	0.903599386576071
Row 01	45	489.7106953	40536.02364447	44318.658848269	0.914649149994603
Row 01	46	446.3123871	40982.33603157	44318.658848269	0.92471968007603
Row 01	47	380.7470739	41363.08310547	44318.658848269	0.933310803629735
Row 01	48	349.5522088	41712.63531427	44318.658848269	0.941198050624206
Row 01	49	386.5836599	42099.21897417	44318.658848269	0.949920870085497
Row 01	50	303.1808	42402.39977417	44318.658848269	0.956761799118074
Row 01	51	315.9336844	42718.33345857	44318.658848269	0.963890482444924
Row 01	52	339.2859033	43057.61936187	44318.658848269	0.971546081962536
Row 01	53	260.6549711	43318.27433297	44318.658848269	0.977427464158517
Row 01	54	253.4232786	43571.69761157	44318.658848269	0.983145671459592
Row 01	55	261.9304857	43833.62809727	44318.658848269	0.989055834188044
Row 01	56	206.305057	44039.93315427	44318.658848269	0.993710872547988
Row 01	57	81.66718993	44121.6003442	44318.658848269	0.995553599563027
Row 01	58	40.67245301	44162.27279721	44318.658848269	0.996471327086083
Row 01	59	22.15587101	44184.42866822	44318.658848269	0.996971249050912
Row 01	60	12.19417478	44196.622843	44318.658848269	0.997246396699711
Row 01	61	9.88450091	44206.50734391	44318.658848269	0.997469429191371
Row 01	62	9.873874314	44216.381218224	44318.658848269	0.997692221906011
Row 01	63	8.577491117	44224.958709341	44318.658848269	0.997885763212087
Row 01	64	13.94485434	44238.903563681	44318.658848269	0.998200412948843
Row 01	65	41.44289648	44280.346460161	44318.658848269	0.999135524650257
Row 01	66	34.96847608	44315.314936241	44318.658848269	0.999924548438177
Row 01	67	3.317203192	44318.632139433	44318.658848269	0.999999397345572
Row 01	68	0.000453549	44318.632592982	44318.658848269	0.999999407579388
Row 01	69	0	44318.632592982	44318.658848269	0.999999407579388
Row 01	70	0.024404289	44318.656997271	44318.658848269	0.999999958234341
Row 01	71	0.001850998	44318.658848269	44318.658848269	1
Row 01	72	0	44318.658848269	44318.658848269	1
Row 01	73	0	44318.658848269	44318.658848269	1
Row 01	74	0	44318.658848269	44318.658848269	1
Row 01	75	0	44318.658848269	44318.658848269	1
Row 01	76	0	44318.658848269	44318.658848269	1
Row 01	77	0	44318.658848269	44318.658848269	1
Row 01	78	0	44318.658848269	44318.658848269	1
Row 01	79	0	44318.658848269	44318.658848269	1
Row 01	80	0	44318.658848269	44318.658848269	1
Row 01	81	0	44318.658848269	44318.658848269	1
Row 01	82	0	44318.658848269	44318.658848269	1
Row 01	83	0	44318.658848269	44318.658848269	1
Row 01	84	0	44318.658848269	44318.658848269	1
Row 01	85	0	44318.658848269	44318.658848269	1
Row 01	86	0	44318.658848269	44318.658848269	1
Row 01	87	0	44318.658848269	44318.658848269	1
Row 01	88	0	44318.658848269	44318.658848269	1
Row 01	89	0	44318.658848269	44318.658848269	1
Row 01	90	0	44318.658848269	44318.658848269	1
Row 02	5	0	0	76050.96421403	0
Row 02	6	0	0	76050.96421403	0
Row 02	7	0	0	76050.96421403	0
Row 02	8	0	0	76050.96421403	0
Row 02	9	0	0	76050.96421403	0
Row 02	10	0	0	76050.96421403	0
Row 02	11	0	0	76050.96421403	0
Row 02	12	0	0	76050.96421403	0
Row 02	13	0	0	76050.96421403	0
Row 02	14	0	0	76050.96421403	0
Row 02	15	0	0	76050.96421403	0
Row 02	16	0	0	76050.96421403	0
Row 02	17	0	0	76050.96421403	0
Row 02	18	0	0	76050.96421403	0
Row 02	19	0	0	76050.96421403	0
Row 02	20	0	0	76050.96421403	0
Row 02	21	0	0	76050.96421403	0
Row 02	22	2.839917579	2.839917579	76050.96421403	3.73422955034157e-05
Row 02	23	10.16736846	13.007286039	76050.96421403	0.000171033808360321
Row 02	24	46.0068826	59.014168639	76050.96421403	0.000775981859650282
Row 02	25	122.4871985	181.501367139	76050.96421403	0.00238657548940736
Row 02	26	575.1051756	756.606542739	76050.96421403	0.00994867784463172
Row 02	27	1490.752411	2247.358953739	76050.96421403	0.0295506963910972
Row 02	28	4983.501962	7230.860915739	76050.96421403	0.0950791484429995
Row 02	29	8747.861206	15978.722121739	76050.96421403	0.210105450823347
Row 02	30	8495.301592	24474.023713739	76050.96421403	0.321810827340227
Row 02	31	6752.85829	31226.882003739	76050.96421403	0.410604682352972
Row 02	32	3654.517322	34881.399325739	76050.96421403	0.458658212768643
Row 02	33	3286.663497	38168.062822739	76050.96421403	0.501874804839065
Row 02	34	2463.330158	40631.392980739	76050.96421403	0.534265323269146
Row 02	35	1946.363591	42577.756571739	76050.96421403	0.559858208397103
Row 02	36	2288.400439	44866.157010739	76050.96421403	0.589948562446524
Row 02	37	2765.062293	47631.219303739	76050.96421403	0.626306580015089
Row 02	38	3300.911251	50932.130554739	76050.96421403	0.669710516902861
Row 02	39	3670.112136	54602.242690739	76050.96421403	0.717969104731823
Row 02	40	3995.59889	58597.841580739	76050.96421403	0.770507543018486
Row 02	41	3210.498477	61808.340057739	76050.96421403	0.812722635360572
Row 02	42	2461.241047	64269.581104739	76050.96421403	0.845085683908824
Row 02	43	1924.231732	66193.812836739	76050.96421403	0.870387555514089
Row 02	44	1461.039805	67654.852641739	76050.96421403	0.889598880710285
Row 02	45	1571.016666	69225.869307739	76050.96421403	0.910256300142584
