"","year","fleet","0","1","2","3","4","5","6","7","8","9","10","11","12"
"1",2020,"F1",NA,NA,33186.1760398889,29768.173065564,28617.9127165307,18448.2287306662,10182.2332509391,1967.920696347,569.61711842,181.87761123,42.821480093,0,11.67858548
"2",2021,"F1",35.18292561,4617.25150098,199.811258617948,1500.28002986044,4229.25501810672,7238.65167305777,17431.1289136025,6354.53551531458,5390.84988029,500.855040132,NA,NA,NA
"3",2020,"F2",NA,NA,57263.8494442823,61228.5518314606,96093.0282666003,138402.289048671,125722.498157221,86133.9250718703,48916.8085495198,16132.6298046521,2416.07517093645,5142.50868433333,315.936527857143
"4",2021,"F2",NA,NA,5974.62440145014,46336.8570074997,48218.9004088909,51454.8274347843,30148.4199970392,16974.9024673326,5407.05826830703,2876.01423646603,76.98373802,33.11446,1.94336
"5",2020,"F3",0,520.426095543888,43049.9278586416,116532.189308698,111568.250679093,12020.976655289,716.406249327284,67.4178957542849,NA,NA,NA,NA,NA
"6",2021,"F3",464.232374534981,4569.27515516151,13615.6170526836,26584.6081500998,54364.1643237913,38135.6367076309,5906.12557020668,692.723568337133,NA,NA,NA,NA,NA
"7",2020,"F4",NA,3588.6844324229,13325.6303021056,6109.81637754587,912.908195353468,332.312620342571,264.506073413677,308.133433622727,84.4417002400869,10.2547410716305,6.64577886170898,3.23784389866718,NA
