"","year","fleet","0","1","2","3","4","5","6","7","8","9","10","11","12"
"1",2020,"F1",NA,NA,NA,950.579425009756,32235.5966148792,29768.173065564,28617.9127165307,18448.2287306662,10182.2332509391,1967.920696347,569.61711842,216.91336767,19.464309133
"2",2021,"F1",NA,1025.50141106,3626.93301553,51.39137793,148.419880687948,1500.28002986044,4229.25501810672,7238.65167305777,17431.1289136025,6354.53551531458,5390.84988029,500.855040132,NA
"3",2020,"F2",NA,NA,NA,1226.26771354135,56387.4280582606,61283.0110137446,95688.7227567967,138446.401923671,125770.599684679,86041.7106694121,48954.6867073769,16154.7055346521,7814.56649526979
"4",2021,"F2",NA,NA,NA,32.62337,5942.00103145014,46336.8570074997,48218.9004088909,51454.8274347843,30148.4199970392,16974.9024673326,5407.05826830703,2901.30918646603,86.74660802
"5",2020,"F3",0,520.426095543888,43049.9278586416,116532.189308698,111568.250679093,12020.976655289,716.406249327284,67.4178957542849,NA,NA,NA,NA,NA
"6",2021,"F3",464.232374534981,4569.27515516151,13615.6170526836,26584.6081500998,54364.1643237913,38135.6367076309,5906.12557020668,692.723568337133,NA,NA,NA,NA,NA
"7",2020,"F4",NA,3588.6844324229,13325.6303021056,6109.81637754587,912.908195353468,332.312620342571,264.506073413677,308.133433622727,84.4417002400869,10.2547410716305,6.64577886170898,3.23784389866718,NA
