year	cm	value	prop	cum_prop	total
1972	5	0	0	0	44318.658848269
1972	6	0	0	0	44318.658848269
1972	7	0	0	0	44318.658848269
1972	8	0	0	0	44318.658848269
1972	9	0	0	0	44318.658848269
1972	10	0	0	0	44318.658848269
1972	11	0	0	0	44318.658848269
1972	12	0	0	0	44318.658848269
1972	13	0	0	0	44318.658848269
1972	14	0	0	0	44318.658848269
1972	15	0	0	0	44318.658848269
1972	16	24.08707177	0.000543497307814873	0.000543497307814873	44318.658848269
1972	17	133.8821589	0.00302089824871199	0.00356439555652686	44318.658848269
1972	18	353.5242392	0.00797687133110997	0.0115412668876368	44318.658848269
1972	19	1070.238025	0.0241487006333857	0.0356899675210226	44318.658848269
1972	20	1764.65683	0.0398174691170494	0.075507436638072	44318.658848269
1972	21	1924.037411	0.043413710184399	0.118921146822471	44318.658848269
1972	22	2150.489873	0.0485233517639263	0.167444498586397	44318.658848269
1972	23	3697.327242	0.0834259731247353	0.250870471711133	44318.658848269
1972	24	4761.301372	0.107433336110214	0.358303807821347	44318.658848269
1972	25	4287.612958	0.0967450971988848	0.455048905020231	44318.658848269
1972	26	2516.81013	0.0567889506452947	0.511837855665526	44318.658848269
1972	27	695.3199549	0.015689101903569	0.527526957569095	44318.658848269
1972	28	530.4541868	0.0119690938441094	0.539496051413205	44318.658848269
1972	29	742.1355734	0.0167454429508078	0.556241494364012	44318.658848269
1972	30	799.987067	0.0180507959353839	0.574292290299396	44318.658848269
1972	31	838.3203983	0.0189157438443727	0.593208034143769	44318.658848269
1972	32	1036.766108	0.0233934449945679	0.616601479138337	44318.658848269
1972	33	1149.204224	0.0259304828680502	0.642531962006387	44318.658848269
1972	34	1232.246128	0.0278042287384815	0.670336190744868	44318.658848269
1972	35	1444.093539	0.032584323996447	0.702920514741316	44318.658848269
1972	36	1400.231951	0.0315946372789368	0.734515152020252	44318.658848269
1972	37	1201.047903	0.027100276366935	0.761615428387187	44318.658848269
1972	38	928.6985129	0.0209550229414551	0.782570451328643	44318.658848269
1972	39	1017.904433	0.0229678528063075	0.80553830413495	44318.658848269
1972	40	1070.377421	0.0241518459451714	0.829690150080121	44318.658848269
1972	41	1036.752558	0.0233931392542691	0.853083289334391	44318.658848269
1972	42	840.3502277	0.0189615446301535	0.872044833964544	44318.658848269
1972	43	759.3711923	0.017134345037376	0.88917917900192	44318.658848269
1972	44	639.08426	0.0144202075741505	0.903599386576071	44318.658848269
1972	45	489.7106953	0.011049763418532	0.914649149994603	44318.658848269
1972	46	446.3123871	0.0100705300814271	0.92471968007603	44318.658848269
1972	47	380.7470739	0.00859112355370545	0.933310803629735	44318.658848269
1972	48	349.5522088	0.00788724699447111	0.941198050624206	44318.658848269
1972	49	386.5836599	0.00872281946129106	0.949920870085497	44318.658848269
1972	50	303.1808	0.00684092903257702	0.956761799118074	44318.658848269
1972	51	315.9336844	0.00712868332684981	0.963890482444924	44318.658848269
1972	52	339.2859033	0.00765559951761157	0.971546081962536	44318.658848269
1972	53	260.6549711	0.00588138219598179	0.977427464158517	44318.658848269
1972	54	253.4232786	0.00571820730107446	0.983145671459592	44318.658848269
1972	55	261.9304857	0.00591016272845158	0.989055834188044	44318.658848269
1972	56	206.305057	0.00465503835994482	0.993710872547988	44318.658848269
1972	57	81.66718993	0.00184272701503894	0.995553599563027	44318.658848269
1972	58	40.67245301	0.000917727523056321	0.996471327086083	44318.658848269
1972	59	22.15587101	0.000499921964828712	0.996971249050912	44318.658848269
1972	60	12.19417478	0.000275147648798409	0.997246396699711	44318.658848269
1972	61	9.88450091	0.000223032491660926	0.997469429191371	44318.658848269
1972	62	9.873874314	0.000222792714639777	0.997692221906011	44318.658848269
1972	63	8.577491117	0.000193541306075308	0.997885763212087	44318.658848269
1972	64	13.94485434	0.000314649736756298	0.998200412948843	44318.658848269
1972	65	41.44289648	0.000935111701414193	0.999135524650257	44318.658848269
1972	66	34.96847608	0.000789023787920103	0.999924548438177	44318.658848269
1972	67	3.317203192	7.48489073948943e-05	0.999999397345572	44318.658848269
1972	68	0.000453549	1.02338159995497e-08	0.999999407579388	44318.658848269
1972	69	0	0	0.999999407579388	44318.658848269
1972	70	0.024404289	5.5065495288455e-07	0.999999958234341	44318.658848269
1972	71	0.001850998	4.17656591625921e-08	1	44318.658848269
1972	72	0	0	1	44318.658848269
1972	73	0	0	1	44318.658848269
1972	74	0	0	1	44318.658848269
1972	75	0	0	1	44318.658848269
1972	76	0	0	1	44318.658848269
1972	77	0	0	1	44318.658848269
1972	78	0	0	1	44318.658848269
1972	79	0	0	1	44318.658848269
1972	80	0	0	1	44318.658848269
1972	81	0	0	1	44318.658848269
1972	82	0	0	1	44318.658848269
1972	83	0	0	1	44318.658848269
1972	84	0	0	1	44318.658848269
1972	85	0	0	1	44318.658848269
1972	86	0	0	1	44318.658848269
1972	87	0	0	1	44318.658848269
1972	88	0	0	1	44318.658848269
1972	89	0	0	1	44318.658848269
1972	90	0	0	1	44318.658848269
1973	5	0	0	0	76050.96421403
1973	6	0	0	0	76050.96421403
1973	7	0	0	0	76050.96421403
1973	8	0	0	0	76050.96421403
1973	9	0	0	0	76050.96421403
1973	10	0	0	0	76050.96421403
1973	11	0	0	0	76050.96421403
1973	12	0	0	0	76050.96421403
1973	13	0	0	0	76050.96421403
1973	14	0	0	0	76050.96421403
1973	15	0	0	0	76050.96421403
1973	16	0	0	0	76050.96421403
1973	17	0	0	0	76050.96421403
1973	18	0	0	0	76050.96421403
1973	19	0	0	0	76050.96421403
1973	20	0	0	0	76050.96421403
1973	21	0	0	0	76050.96421403
1973	22	2.839917579	3.73422955034157e-05	3.73422955034157e-05	76050.96421403
1973	23	10.16736846	0.000133691512856905	0.000171033808360321	76050.96421403
1973	24	46.0068826	0.000604948051289961	0.000775981859650282	76050.96421403
1973	25	122.4871985	0.00161059362975708	0.00238657548940736	76050.96421403
1973	26	575.1051756	0.00756210235522437	0.00994867784463172	76050.96421403
