year	CPUE	standard_error
2015	23.11157406	1.097752744
2016	20.29499909	1.016898191
2017	27.63493617	1.312320315
2018	22.85073001	1.043262234
2019	21.44168995	0.978132961
2020	23.18398558	1.072469785
2021	23.23592998	1.02955094
2022	24.5219971	1.107918265
2023	28.64463209	1.195562348
2024	31.30536297	1.386965607
2025	24.29560683	1.082732178
