"","h2_1.07"
"catch_like",1.45
"age_like_fsh",235.46
"length_like_fsh",469.14
"sel_like_fsh",188.21
"ind_like",194.15
"age_like_ind",72.76
"length_like_ind",0
"sel_like_ind",34.4
"rec_like",15.63
"fpen",0.06
"post_priors_indq",0.21
"post_priors",0
"residual",0.17
"total",1211.64
