"year","fspr","survivespr","f_fmsy","fmsy","f","fsprmsy","msy","msyl","bmsy","bzero","ssb","b_bmsy"
2010,1.66261,-0.66261,0.54756,0.13977,0.07653,0.96651,101.77337,0.9613,302.89299,315.08766,170.73143,0.56367
2011,0.24535,0.75465,2.73447,0.13125,0.35891,1.03625,112.09042,1.04189,328.28685,315.08766,218.02174,0.66412
2012,0.46192,0.53808,1.8666,0.12932,0.24139,1.0529,110.00415,1.06113,334.34998,315.08766,171.77901,0.51377
2013,0.9777,0.0223,1.07485,0.12872,0.13836,1.05816,109.90126,1.06721,336.26454,315.08766,158.51759,0.47141
2014,0.75679,0.24321,1.34777,0.12679,0.17088,1.07527,109.55535,1.08698,342.49523,315.08766,143.83564,0.41996
2015,1.92503,-0.92503,0.51584,0.1172,0.06045,1.16531,99.93302,1.19103,375.27746,315.08766,161.59762,0.43061
2016,2.56204,-1.56204,0.26519,0.11313,0.03,1.20623,94.5354,1.23832,390.17782,315.08766,208.89209,0.53538
2017,3.06972,-2.06972,-1.26723,-0.00889,0.01126,3.74271,-16.93271,4.16935,1313.71211,315.08766,306.69295,0.23346
2018,2.41648,-1.41648,-0.26862,-0.13455,0.03614,13.77839,-661.09612,15.76614,4967.71516,315.08766,567.01112,0.11414
2019,2.28093,-1.28093,-0.307,-0.13762,0.04225,14.23927,-687.84699,16.29871,5135.52216,315.08766,964.32126,0.18777
2020,2.56063,-1.56063,-0.06278,-0.47881,0.03006,650.49732,-53650.44194,751.53024,236797.9073,315.08766,1299.53757,0.00549
2021,2.6235,-1.6235,-0.06125,-0.44937,0.02752,464.09575,-36052.77672,536.13287,168928.85337,315.08766,1504.51993,0.00891
2022,2.20099,-1.20099,-0.08571,-0.53724,0.04604,1274.71871,-104149.15606,1472.85273,464077.72584,315.08766,1584.26481,0.00341
2023,1.30454,-0.30454,-0.27088,-0.38392,0.104,219.91956,-15350.7843,253.97372,80023.98483,315.08766,1466.30655,0.01832
